"""Munic¡pio"";""Quantidade aprovada"";""Valor aprovado"""
"""130406 TABATINGA"";92889;5797314,43"
"""130410 TAPAUA"";31319;1754116,68"
"""130420 TEFE"";478876;16655696,58"
"""130423 TONANTINS"";35442;2666786,49"
"""130426 UARINI"";47644;2733406,79"
"""130430 URUCARA"";52774;2365661,01"
"""130440 URUCURITUBA"";2489;552489,31"
"""140005 ALTO ALEGRE"";14744;317565,15"
"""140010 BOA VISTA"";6893719;226214321,73"
"""140015 BONFIM"";1884;103669,63"
"""140020 CARACARAI"";14132;375264,58"
"""140023 CAROEBE"";13124;247337,28"
"""140030 MUCAJAI"";4957;109275,51"
"""140040 NORMANDIA"";4532;427564,25"
"""140045 PACARAIMA"";27761;962863,76"
"""140047 RORAINOPOLIS"";126876;6043317,77"
"""140050 SAO JOAO DA BALIZA"";9220;283356,14"
"""140060 SAO LUIZ"";5046;174944,76"
"""150010 ABAETETUBA"";485789;34760438,20"
"""150013 ABEL FIGUEIREDO"";5955;1037559,37"
"""150020 ACARA"";151316;3902106,31"
"""150030 AFUA"";20328;2007338,75"
"""150034 AGUA AZUL DO NORTE"";63631;2688593,00"
"""150040 ALENQUER"";208761;10414463,33"
"""150050 ALMEIRIM"";54975;4750025,33"
"""150060 ALTAMIRA"";2006683;77264087,63"
"""150070 ANAJAS"";36936;3052290,99"
"""150080 ANANINDEUA"";3711769;221891949,24"
"""150085 ANAPU"";74003;5861056,92"
"""150090 AUGUSTO CORREA"";49627;8558118,00"
"""150095 AURORA DO PARA"";39405;3381517,15"
"""150110 BAGRE"";4310;549875,70"
"""150120 BAIAO"";103029;4860108,26"
"""150125 BANNACH"";12322;344103,31"
"""150130 BARCARENA"";730845;36260969,70"
"""150140 BELEM"";21287860;1551882254,08"
"""150145 BELTERRA"";23797;1274541,96"
"""150157 BOM JESUS DO TOCANTINS"";19705;2461247,87"
"""150170 BRAGANCA"";1170122;78964606,18"
"""150172 BRASIL NOVO"";216030;7574415,26"
"""150175 BREJO GRANDE DO ARAGUAIA"";3748;1340206,60"
"""150178 BREU BRANCO"";22262;2976105,92"
"""150180 BREVES"";1624035;47816071,29"
"""150190 BUJARU"";8766;1214171,78"
"""150200 CACHOEIRA DO ARARI"";6251;2025291,29"
"""150210 CAMETA"";323164;20576327,36"
"""150215 CANAA DOS CARAJAS"";321095;10919811,82"
"""150220 CAPANEMA"";748919;50070573,26"
"""150230 CAPITAO POCO"";30972;5708985,89"
"""150240 CASTANHAL"";3940868;124711703,01"
"""150250 CHAVES"";7016;265090,21"
"""150270 CONCEICAO DO ARAGUAIA"";145298;15301873,35"
"""150275 CONCORDIA DO PARA"";10523;1776856,00"
"""150276 CUMARU DO NORTE"";8984;1567037,10"
"""150277 CURIONOPOLIS"";13712;2991988,07"
"""150280 CURRALINHO"";100400;4379691,52"
"""150290 CURUCA"";151602;3440098,75"
"""150293 DOM ELISEU"";34302;5894913,83"
"""150295 ELDORADO DOS CARAJAS"";38351;3480824,87"
"""150300 FARO"";5039;612570,10"
"""150304 FLORESTA DO ARAGUAIA"";32700;3632440,40"
"""150307 GARRAFAO DO NORTE"";20596;1785417,07"
"""150309 GOIANESIA DO PARA"";54825;3597884,77"
"""150310 GURUPA"";46898;3948324,05"
"""150320 IGARAPE-ACU"";121553;3336531,57"
"""150330 IGARAPE-MIRI"";287480;15914144,66"
"""150340 INHANGAPI"";1427;45879,58"
"""150345 IPIXUNA DO PARA"";144222;13784815,34"
"""150350 IRITUIA"";14384;1397622,38"
"""150360 ITAITUBA"";984032;42972658,61"
"""150370 ITUPIRANGA"";40977;4416308,87"
"""150375 JACAREACANGA"";25377;2043301,81"
"""150380 JACUNDA"";152345;8166303,46"
"""150390 JURUTI"";119027;6214080,36"
"""150400 LIMOEIRO DO AJURU"";63197;3050751,82"
"""150405 MAE DO RIO"";72594;5026062,43"
"""150420 MARABA"";2069503;108310761,83"
"""150430 MARACANA"";8619;978097,85"
"""150440 MARAPANIM"";21065;841285,35"
"""150442 MARITUBA"";662076;32630672,13"
"""150445 MEDICILANDIA"";55710;3942024,04"
"""150450 MELGACO"";4489;1551474,86"
"""150460 MOCAJUBA"";68895;5722969,04"
"""150470 MOJU"";183178;4589264,54"
"""150480 MONTE ALEGRE"";205104;6712044,01"
"""150490 MUANA"";105307;4791255,76"
"""150495 NOVA ESPERANCA DO PIRIA"";11205;1398834,86"
"""150497 NOVA IPIXUNA"";14694;515400,25"
"""150503 NOVO PROGRESSO"";94349;6119238,93"
"""150506 NOVO REPARTIMENTO"";131865;4336899,22"
"""150510 OBIDOS"";49524;5450647,66"
"""150520 OEIRAS DO PARA"";83556;3162447,33"
"""150530 ORIXIMINA"";411046;13676873,07"
"""150540 OUREM"";56005;3447972,01"
"""150543 OURILANDIA DO NORTE"";409791;12953158,62"
"""150548 PACAJA"";206001;6083400,20"
"""150549 PALESTINA DO PARA"";9405;1270190,08"
"""150550 PARAGOMINAS"";497104;34352605,19"
"""150553 PARAUAPEBAS"";1236173;44957620,61"
"""150555 PAU D'ARCO"";22693;1546112,19"
"""150563 PICARRA"";5436;1161318,79"
"""150565 PLACAS"";69300;2196335,14"
"""150570 PONTA DE PEDRAS"";7590;2098986,33"
"""150580 PORTEL"";154470;6774662,59"
"""150590 PORTO DE MOZ"";50653;4278357,01"
"""150600 PRAINHA"";68331;3357343,36"
"""150613 REDENCAO"";1753568;73707384,59"
"""150616 RIO MARIA"";52670;6074307,29"
"""150618 RONDON DO PARA"";45366;6422595,18"
"""150619 RUROPOLIS"";60388;4060262,32"
"""150620 SALINOPOLIS"";180698;6886207,42"
"""150630 SALVATERRA"";19651;2788382,88"
"""150640 SANTA CRUZ DO ARARI"";3145;855931,70"
"""150650 SANTA IZABEL DO PARA"";28638;3849714,61"
"""150658 SANTA MARIA DAS BARREIRAS"";6206;1552259,35"
"""150660 SANTA MARIA DO PARA"";18578;1910267,24"
"""150670 SANTANA DO ARAGUAIA"";44650;7493978,64"
"""150680 SANTAREM"";3278754;152602922,42"
"""150700 SANTO ANTONIO DO TAUA"";93914;12612354,75"
"""150715 SAO DOMINGOS DO ARAGUAIA"";11850;1074756,89"
"""150720 SAO DOMINGOS DO CAPIM"";37931;2075633,09"
"""150730 SAO FELIX DO XINGU"";77157;10434452,30"
"""150745 SAO GERALDO DO ARAGUAIA"";43495;3536379,06"
"""150747 SAO JOAO DE PIRABAS"";30721;1687927,38"
"""150750 SAO JOAO DO ARAGUAIA"";6223;474871,24"
"""150760 SAO MIGUEL DO GUAMA"";119799;4231744,90"
"""150770 SAO SEBASTIAO DA BOA VISTA"";14166;2844541,72"
"""150775 SAPUCAIA"";15134;714875,29"
"""150780 SENADOR JOSE PORFIRIO"";17374;1824164,66"
"""150790 SOURE"";10547;3209049,47"
"""150795 TAILANDIA"";85971;12259256,74"
"""150797 TERRA SANTA"";25650;2367865,42"
"""150800 TOME-ACU"";139978;8168217,01"
"""150803 TRACUATEUA"";41144;2459407,02"
"""150805 TRAIRAO"";40004;2696294,54"
"""150808 TUCUMA"";188127;11040409,52"
"""150810 TUCURUI"";884073;37257063,28"
"""150812 ULIANOPOLIS"";148415;9827160,20"
"""150815 URUARA"";380287;8831014,79"
"""150820 VIGIA"";31939;4327661,30"
"""150830 VISEU"";90576;5571634,25"
"""150835 VITORIA DO XINGU"";95194;4607814,69"
"""150840 XINGUARA"";223982;8176190,48"
"""160005 SERRA DO NAVIO"";317;59141,49"
"""160010 AMAPA"";10887;473878,44"
"""160015 PEDRA BRANCA DO AMAPARI"";8629;359817,08"
"""160020 CALCOENE"";6916;455775,27"
"""160023 FERREIRA GOMES"";695;113301,04"
"""160027 LARANJAL DO JARI"";429035;11814669,43"
"""160030 MACAPA"";6760788;205165854,44"
"""160040 MAZAGAO"";5497;228368,90"
"""160050 OIAPOQUE"";94198;4579325,15"
"""160053 PORTO GRANDE"";16941;1356601,26"
"""160060 SANTANA"";856882;15930435,46"
"""160070 TARTARUGALZINHO"";2348;328103,64"
"""170070 ALVORADA"";33349;1634706,05"
"""170100 ANANAS"";2945;245055,38"
"""170190 ARAGUACEMA"";3281;1062514,22"
"""170200 ARAGUACU"";31795;952150,55"
"""170210 ARAGUAINA"";4323853;214475422,28"
"""170220 ARAGUATINS"";19268;2237750,24"
"""170230 ARAPOEMA"";68752;3076165,93"
"""170240 ARRAIAS"";50598;2686707,86"
"""170255 AUGUSTINOPOLIS"";343245;13227280,98"
"""170370 BREJINHO DE NAZARE"";175;49922,54"
"""170550 COLINAS DO TOCANTINS"";57354;4824216,35"
"""170610 CRISTALANDIA"";458;138102,46"
"""170700 DIANOPOLIS"";74468;3956336,56"
"""170710 DIVINOPOLIS DO TOCANTINS"";1632;629315,80"
"""170730 DUERE"";493;106973,54"
"""170765 FIGUEIROPOLIS"";7;3873,38"
"""170770 FILADELFIA"";56;17337,17"
"""170820 FORMOSO DO ARAGUAIA"";38399;1159551,99"
"""170900 GOIATINS"";672;261313,14"
"""170930 GUARAI"";201363;8383322,06"
"""170950 GURUPI"";2136176;57775059,70"
"""171050 ITACAJA"";531;123230,71"
"""171190 LAGOA DA CONFUSAO"";585;127501,99"
"""171320 MIRACEMA DO TOCANTINS"";614534;15622548,94"
"""171360 MONTE DO CARMO"";203;46716,39"
"""171420 NATIVIDADE"";540;231121,07"
"""171575 PALMEIROPOLIS"";2813;443799,14"
"""171610 PARAISO DO TOCANTINS"";561817;15238935,91"
"""171620 PARANA"";15286;859617,52"
"""171650 PEDRO AFONSO"";163307;3230731,84"
"""171660 PEIXE"";9401;706913,64"
"""171670 COLMEIA"";64;25157,20"
"""171700 PINDORAMA DO TOCANTINS"";959;262185,87"
"""171750 PIUM"";29914;1051030,78"
"""171790 PONTE ALTA DO TOCANTINS"";493;126115,07"
"""171820 PORTO NACIONAL"";432853;19760930,69"
"""172065 SILVANOPOLIS"";268;97122,47"
"""172080 SITIO NOVO DO TOCANTINS"";5106;891969,23"
"""172090 TAGUATINGA"";28360;1894022,93"
"""172100 PALMAS"";3353453;253857762,97"
"""172120 TOCANTINOPOLIS"";31594;3056893,52"
"""172210 XAMBIOA"";95379;3443188,66"
"""210005 ACAILANDIA"";1082554;35450032,58"
"""210010 AFONSO CUNHA"";6835;684881,22"
"""210020 ALCANTARA"";8772;575730,91"
"""210030 ALDEIAS ALTAS"";19531;1275392,70"
"""210043 ALTO ALEGRE DO MARANHAO"";605206;9526575,22"
"""210047 ALTO ALEGRE DO PINDARE"";135648;5810505,74"
"""210050 ALTO PARNAIBA"";7906;454623,06"
"""210060 AMARANTE DO MARANHAO"";134786;8473153,41"
"""210070 ANAJATUBA"";22222;710212,67"
"""210080 ANAPURUS"";43144;1751843,42"
"""210083 APICUM-ACU"";38146;2170466,32"
"""210087 ARAGUANA"";4674;1233429,27"
"""210090 ARAIOSES"";5407;352333,69"
"""210095 ARAME"";38918;2995551,77"
"""210100 ARARI"";27949;1551464,75"
"""210110 AXIXA"";4817;599225,87"
"""210120 BACABAL"";2367515;52858659,57"
"""210125 BACABEIRA"";13036;635214,95"
"""210130 BACURI"";40061;2304075,07"
"""210140 BALSAS"";2302886;44309923,90"
"""210150 BARAO DE GRAJAU"";18449;895177,88"
"""210160 BARRA DO CORDA"";617514;17884974,54"
"""210170 BARREIRINHAS"";902318;21259589,03"
"""210173 BELAGUA"";687;54924,16"
"""210177 BELA VISTA DO MARANHAO"";22615;1693116,33"
"""210180 BENEDITO LEITE"";6;597,30"
"""210190 BEQUIMAO"";31480;1415591,12"
"""210193 BERNARDO DO MEARIM"";7433;432730,80"
"""210200 BOM JARDIM"";66171;4950342,95"
"""210203 BOM JESUS DAS SELVAS"";30676;3084500,83"
"""210210 BREJO"";38718;3382557,33"
"""210220 BURITI"";14547;1366128,74"
"""210230 BURITI BRAVO"";46725;3150226,31"
"""210232 BURITICUPU"";78237;8411351,78"
"""210240 CAJAPIO"";10857;1048373,50"
"""210250 CAJARI"";6346;577864,01"
"""210260 CANDIDO MENDES"";7731;1061847,65"
"""210270 CANTANHEDE"";50126;2455559,21"
