"""Munic¡pio"";""Quantidade aprovada"";""Valor aprovado"""
"""220260 CASTELO DO PIAUI"";19450;1283697,21"
"""220270 COCAL"";10993;880226,30"
"""220290 CORRENTE"";37013;4909804,42"
"""220310 CRISTINO CASTRO"";21284;2608821,20"
"""220320 CURIMATA"";55046;2997866,24"
"""220330 DEMERVAL LOBAO"";51448;3990855,39"
"""220350 ELESBAO VELOSO"";56304;2483262,87"
"""220370 ESPERANTINA"";214868;13611519,47"
"""220390 FLORIANO"";1661175;70970320,19"
"""220400 FRANCINOPOLIS"";994;71099,02"
"""220430 FRONTEIRAS"";53442;8101272,01"
"""220450 GUADALUPE"";23672;1480904,70"
"""220470 INHUMA"";6125;322719,26"
"""220480 IPIRANGA DO PIAUI"";1832;137474,13"
"""220510 ITAUEIRA"";8552;1224435,36"
"""220520 JAICOS"";35816;3005909,97"
"""220540 JOAQUIM PIRES"";4426;212755,58"
"""220550 JOSE DE FREITAS"";43594;3401853,78"
"""220570 LUIS CORREIA"";4390;355519,52"
"""220580 LUZILANDIA"";138879;11943470,17"
"""220590 MANOEL EMIDIO"";339;180458,45"
"""220595 MARCOLANDIA"";557;164181,17"
"""220620 MIGUEL ALVES"";28006;3390630,25"
"""220650 MONSENHOR HIPOLITO"";1645;410982,36"
"""220680 NOSSA SENHORA DOS REMEDIOS"";634;100033,46"
"""220700 OEIRAS"";731471;32238699,42"
"""220730 PAES LANDIM"";1114;89208,28"
"""220760 PARNAGUA"";37280;4452749,28"
"""220770 PARNAIBA"";1412507;122159224,76"
"""220780 PAULISTANA"";34486;4063175,61"
"""220790 PEDRO II"";192014;6677451,46"
"""220800 PICOS"";667171;35639399,58"
"""220810 PIMENTEIRAS"";3036;275478,65"
"""220820 PIO IX"";4929;412963,84"
"""220830 PIRACURUCA"";5521;2158799,34"
"""220840 PIRIPIRI"";280391;24054111,79"
"""220850 PORTO"";9355;854617,40"
"""220880 REGENERACAO"";36278;4647589,33"
"""220890 RIBEIRO GONCALVES"";3022;318102,50"
"""220960 SAO FELIX DO PIAUI"";497;40844,35"
"""220990 SAO JOAO DA SERRA"";340;23533,39"
"""221000 SAO JOAO DO PIAUI"";156248;3659951,29"
"""221040 SAO MIGUEL DO TAPUIO"";17706;1402928,23"
"""221050 SAO PEDRO DO PIAUI"";17054;807585,54"
"""221060 SAO RAIMUNDO NONATO"";381497;42539099,68"
"""221070 SIMOES"";41514;4680964,56"
"""221080 SIMPLICIO MENDES"";22429;1238363,13"
"""221100 TERESINA"";25871919;985099086,74"
"""221110 UNIAO"";39466;2561524,28"
"""221120 URUCUI"";96413;6222233,79"
"""221130 VALENCA DO PIAUI"";93174;8623292,12"
"""221170 WALL FERRAZ"";7344;781605,86"
"""230020 ACARAU"";194182;10725219,56"
"""230030 ACOPIARA"";76875;5107637,37"
"""230040 AIUABA"";5102;627894,56"
"""230060 ALTANEIRA"";5283;409219,54"
"""230070 ALTO SANTO"";69548;781609,30"
"""230075 AMONTADA"";8180;633279,10"
"""230080 ANTONINA DO NORTE"";1818;227344,24"
"""230090 APUIARES"";11212;364301,26"
"""230100 AQUIRAZ"";163029;6461047,75"
"""230110 ARACATI"";667868;15884285,17"
"""230120 ARACOIABA"";226938;10984192,37"
"""230125 ARARENDA"";1424;321883,63"
"""230130 ARARIPE"";32302;1338721,71"
"""230140 ARATUBA"";1607;436675,69"
"""230150 ARNEIROZ"";210;66617,84"
"""230160 ASSARE"";4837;1226970,07"
"""230170 AURORA"";98538;6587953,65"
"""230180 BAIXIO"";727;138542,86"
"""230185 BANABUIU"";9688;738395,71"
"""230190 BARBALHA"";3454654;227180318,88"
"""230195 BARREIRA"";6481;421794,40"
"""230200 BARRO"";3751;707257,34"
"""230210 BATURITE"";93284;5576201,90"
"""230220 BEBERIBE"";67934;2720556,21"
"""230230 BELA CRUZ"";32798;1996439,81"
"""230240 BOA VIAGEM"";57438;5053711,19"
"""230250 BREJO SANTO"";1078786;49819557,74"
"""230260 CAMOCIM"";155369;11270095,86"
"""230270 CAMPOS SALES"";34529;2689996,74"
"""230280 CANINDE"";470918;29585020,82"
"""230290 CAPISTRANO"";9722;308581,81"
"""230300 CARIDADE"";1951;190257,46"
"""230310 CARIRE"";7617;1085970,32"
"""230320 CARIRIACU"";67155;1200974,09"
"""230330 CARIUS"";21068;1202227,25"
"""230340 CARNAUBAL"";70592;1838207,30"
"""230350 CASCAVEL"";183039;5372695,33"
"""230360 CATARINA"";2646;908257,53"
"""230365 CATUNDA"";13481;444860,06"
"""230370 CAUCAIA"";938099;30723858,31"
"""230380 CEDRO"";13651;6444286,60"
"""230390 CHAVAL"";4264;462859,23"
"""230393 CHORO"";665;284539,41"
"""230395 CHOROZINHO"";1258;633604,26"
"""230400 COREAU"";2217;713315,49"
"""230410 CRATEUS"";473892;36201145,82"
"""230420 CRATO"";1660572;97576738,50"
"""230423 CROATA"";23233;1362747,40"
"""230425 CRUZ"";133590;3315357,44"
"""230426 DEPUTADO IRAPUAN PINHEIRO"";3105;663326,16"
"""230427 ERERE"";253;105585,91"
"""230428 EUSEBIO"";163811;18446538,41"
"""230430 FARIAS BRITO"";62605;1395655,21"
"""230440 FORTALEZA"";47282292;2513075605,11"
"""230445 FORTIM"";9048;504335,78"
"""230450 FRECHEIRINHA"";35975;846855,12"
"""230460 GENERAL SAMPAIO"";300;159330,20"
"""230470 GRANJA"";39490;4435400,14"
"""230480 GRANJEIRO"";5068;239987,00"
"""230490 GROAIRAS"";6026;381024,27"
"""230495 GUAIUBA"";509;126999,80"
"""230500 GUARACIABA DO NORTE"";25750;2856538,01"
"""230510 GUARAMIRANGA"";488;19216,16"
"""230520 HIDROLANDIA"";7146;1248113,11"
"""230523 HORIZONTE"";105496;5670824,21"
"""230526 IBARETAMA"";2400;186102,57"
"""230530 IBIAPINA"";99545;2446311,59"
"""230540 ICO"";245509;15971369,36"
"""230550 IGUATU"";562835;37150760,30"
"""230560 INDEPENDENCIA"";73164;880412,56"
"""230565 IPAPORANGA"";5192;645445,67"
"""230570 IPAUMIRIM"";1693;429915,57"
"""230580 IPU"";64220;7021442,07"
"""230590 IPUEIRAS"";11946;2368996,28"
"""230600 IRACEMA"";42311;1187176,79"
"""230610 IRAUCUBA"";13461;1275131,39"
"""230620 ITAICABA"";235;117238,35"
"""230625 ITAITINGA"";128425;1381019,18"
"""230630 ITAPAGE"";49152;2737020,30"
"""230640 ITAPIPOCA"";1640714;79430514,10"
"""230650 ITAPIUNA"";8454;468628,98"
"""230655 ITAREMA"";100653;3322594,71"
"""230670 JAGUARETAMA"";36965;2059254,73"
"""230680 JAGUARIBARA"";26807;1204898,89"
"""230690 JAGUARIBE"";67543;3564868,38"
"""230700 JAGUARUANA"";28978;1188178,64"
"""230710 JARDIM"";39546;1609092,51"
"""230720 JATI"";8728;256415,02"
"""230725 JIJOCA DE JERICOACOARA"";7575;1355603,86"
"""230730 JUAZEIRO DO NORTE"";4159725;157076338,24"
"""230740 JUCAS"";14367;2147207,50"
"""230750 LAVRAS DA MANGABEIRA"";84279;5064393,20"
"""230760 LIMOEIRO DO NORTE"";1600594;53710112,90"
"""230763 MADALENA"";3656;585838,39"
"""230765 MARACANAU"";608193;74007865,86"
"""230770 MARANGUAPE"";31819;7091258,74"
"""230780 MARCO"";60085;2431881,01"
"""230790 MARTINOPOLE"";1317;544973,11"
"""230800 MASSAPE"";30124;1225506,58"
"""230810 MAURITI"";66621;5956065,50"
"""230820 MERUOCA"";3966;601958,90"
"""230830 MILAGRES"";38980;2021939,07"
"""230835 MILHA"";2384;657228,05"
"""230840 MISSAO VELHA"";74689;5125640,35"
"""230850 MOMBACA"";47626;5131915,78"
"""230860 MONSENHOR TABOSA"";10555;1247032,36"
"""230870 MORADA NOVA"";77099;6017073,55"
"""230880 MORAUJO"";2201;278709,18"
"""230890 MORRINHOS"";24672;644208,43"
"""230900 MUCAMBO"";124407;3154818,68"
"""230910 MULUNGU"";1993;365303,65"
"""230920 NOVA OLINDA"";1292;584877,38"
"""230930 NOVA RUSSAS"";62482;4114404,85"
"""230940 NOVO ORIENTE"";83615;1754204,92"
"""230945 OCARA"";6243;736810,70"
"""230950 OROS"";26512;2102297,69"
"""230960 PACAJUS"";38706;2180449,24"
"""230970 PACATUBA"";7623;1370864,69"
"""230980 PACOTI"";2229;371803,99"
"""231010 PALMACIA"";2854;221183,61"
"""231020 PARACURU"";63419;2295126,92"
"""231025 PARAIPABA"";8128;1106387,08"
"""231030 PARAMBU"";193283;4834160,11"
"""231040 PARAMOTI"";1094;280297,75"
"""231050 PEDRA BRANCA"";42770;2290349,28"
"""231060 PENAFORTE"";10783;733255,48"
"""231070 PENTECOSTE"";47574;2237087,82"
"""231080 PEREIRO"";28121;1107287,77"
"""231085 PINDORETAMA"";56288;686849,40"
"""231090 PIQUET CARNEIRO"";33522;1113770,04"
"""231100 PORANGA"";17819;499929,65"
"""231110 PORTEIRAS"";20234;880067,78"
"""231120 POTENGI"";3910;408280,60"
"""231126 QUITERIANOPOLIS"";26764;561557,71"
"""231130 QUIXADA"";919462;34252920,10"
"""231135 QUIXELO"";29337;1477475,93"
"""231140 QUIXERAMOBIM"";3184058;88453549,41"
"""231150 QUIXERE"";38902;840723,79"
"""231160 REDENCAO"";65526;4265684,17"
"""231170 RERIUTABA"";11514;699756,96"
"""231180 RUSSAS"";347881;17484787,87"
"""231190 SABOEIRO"";9537;435008,52"
"""231195 SALITRE"";7628;723008,32"
"""231200 SANTANA DO ACARAU"";65191;1171400,28"
"""231210 SANTANA DO CARIRI"";7878;596779,44"
"""231220 SANTA QUITERIA"";64009;3017884,66"
"""231230 SAO BENEDITO"";67872;4164817,96"
"""231240 SAO GONCALO DO AMARANTE"";304175;14416996,89"
"""231260 SAO LUIS DO CURU"";2552;198382,73"
"""231270 SENADOR POMPEU"";35934;1234891,45"
"""231290 SOBRAL"";9392266;473741915,05"
"""231300 SOLONOPOLE"";26232;896733,87"
"""231310 TABULEIRO DO NORTE"";86185;3804078,68"
"""231320 TAMBORIL"";54130;2298180,79"
"""231325 TARRAFAS"";1220;248043,21"
"""231330 TAUA"";677172;42771447,60"
"""231335 TEJUCUOCA"";5785;281351,87"
"""231340 TIANGUA"";1004536;48334730,79"
"""231350 TRAIRI"";50048;1461655,26"
"""231355 TURURU"";1540;131638,88"
"""231360 UBAJARA"";148994;2971379,96"
"""231370 UMARI"";2265;285893,76"
"""231375 UMIRIM"";2593;189724,17"
"""231380 URUBURETAMA"";4131;358937,06"
"""231390 URUOCA"";395;165286,09"
"""231395 VARJOTA"";18629;1009895,23"
"""231400 VARZEA ALEGRE"";179951;9581041,19"
"""231410 VICOSA DO CEARA"";103408;7209632,12"
"""240010 ACARI"";50;31442,45"
"""240020 ACU"";162952;10054297,77"
"""240030 AFONSO BEZERRA"";211;82459,39"
"""240050 ALEXANDRIA"";96856;16905504,42"
"""240060 ALMINO AFONSO"";19941;12869805,86"
"""240070 ALTO DO RODRIGUES"";8045;190176,08"
"""240080 ANGICOS"";13929;624758,22"
"""240090 ANTONIO MARTINS"";8086;799678,14"
"""240100 APODI"";43002;7182419,71"
"""240110 AREIA BRANCA"";22883;1270272,71"
"""240120 ARES"";42;5544,30"
"""240145 BARAUNA"";1171;571113,92"
"""240180 BREJINHO"";1621;251972,22"
"""240200 CAICO"";516480;42647960,09"
"""240230 CARAUBAS"";15926;1821453,51"
"""240240 CARNAUBA DOS DANTAS"";218;41891,86"
"""240250 CARNAUBAIS"";6066;170626,96"
"""240260 CEARA-MIRIM"";211317;9412153,93"
"""240270 CERRO CORA"";512;217112,07"
"""240280 CORONEL EZEQUIEL"";24;7126,41"
"""240290 CORONEL JOAO PESSOA"";176;21778,03"
"""240310 CURRAIS NOVOS"";406079;32336605,08"
"""240320 DOUTOR SEVERIANO"";509;176606,85"
"""240325 PARNAMIRIM"";1049041;73364188,83"
"""240330 ENCANTO"";250;52037,21"
"""240340 EQUADOR"";2007;159352,17"
"""240360 EXTREMOZ"";4343;705439,87"
"""240370 FELIPE GUERRA"";1608;188746,52"
"""240400 FRUTUOSO GOMES"";8027;464756,74"
"""240420 GOIANINHA"";1006;483631,49"
"""240430 GOVERNADOR DIX-SEPT ROSADO"";736;29039,04"
"""240440 GROSSOS"";233;37267,22"
"""240450 GUAMARE"";69319;3352784,48"
"""240485 ITAJA"";164;6347,25"
"""240490 ITAU"";902;29726,16"
"""240520 JANDUIS"";750;276079,22"
"""240530 JANUARIO CICCO"";1210;125676,59"
"""240560 JARDIM DE PIRANHAS"";7986;625249,01"
"""240570 JARDIM DO SERIDO"";2216;1481778,76"
"""240580 JOAO CAMARA"";103509;5811020,81"
"""240600 JOSE DA PENHA"";458;150480,55"
"""240610 JUCURUTU"";28800;2587063,35"
"""240620 LAGOA D'ANTA"";35;3337,92"
"""240650 LAGOA NOVA"";2826;197761,83"
"""240670 LAJES"";3496;681701,67"
"""240690 LUCRECIA"";1254;470104,93"
"""240710 MACAIBA"";140328;15210007,37"
"""240720 MACAU"";58441;1457696,96"
"""240725 MAJOR SALES"";570;108662,22"
"""240740 MARTINS"";2763;351043,05"
"""240760 MESSIAS TARGINO"";326;131868,55"
"""240780 MONTE ALEGRE"";45611;577970,57"
"""240800 MOSSORO"";4957993;344306572,08"
"""240810 NATAL"";11897455;1291390764,69"
"""240830 NOVA CRUZ"";26041;1072394,83"
"""240840 OLHO-D'AGUA DO BORGES"";77;2977,93"
"""240890 PARELHAS"";38959;1070383,10"
"""240910 PASSA E FICA"";4409;685486,62"
"""240930 PATU"";1063;453212,60"
"""240940 PAU DOS FERROS"";665713;30772583,21"
"""240980 PEDRO VELHO"";2857;126378,54"
"""240990 PENDENCIAS"";9504;266598,87"
"""241000 PILOES"";1612;104056,88"
"""241020 PORTALEGRE"";2507;323938,77"
"""241030 SERRA CAIADA"";2222;199684,39"
"""241060 RAFAEL GODEIRO"";5505;605984,44"
"""241070 RIACHO DA CRUZ"";2923;200916,26"
"""241100 RODOLFO FERNANDES"";195;13165,68"
"""241105 TIBAU"";2;592,86"
"""241120 SANTA CRUZ"";554874;20307484,50"
"""241140 SANTANA DO MATOS"";8237;306472,25"
"""241142 SANTANA DO SERIDO"";1327;92060,57"
"""241150 SANTO ANTONIO"";311163;11260944,80"
"""241200 SAO GONCALO DO AMARANTE"";394864;14479801,94"
"""241220 SAO JOSE DE MIPIBU"";264888;12890205,24"
"""241230 SAO JOSE DO CAMPESTRE"";5644;275503,86"
"""241240 SAO JOSE DO SERIDO"";1372;133568,61"
"""241250 SAO MIGUEL"";1078;399838,87"
"""241260 SAO PAULO DO POTENGI"";188984;5012820,95"
"""241280 SAO RAFAEL"";5667;408446,21"
"""241300 SAO VICENTE"";1235;146503,14"
"""241330 SERRA DE SAO BENTO"";150;52916,86"
"""241335 SERRA DO MEL"";2172;202999,49"
"""241340 SERRA NEGRA DO NORTE"";500;138583,46"
"""241355 SERRINHA DOS PINTOS"";835;228684,46"
"""241360 SEVERIANO MELO"";364;212015,39"
"""241380 TABOLEIRO GRANDE"";516;78228,81"
"""241400 TANGARA"";431;187180,40"
"""241410 TENENTE ANANIAS"";15541;8414772,52"
"""241420 TIBAU DO SUL"";384;187518,32"
"""241440 TOUROS"";5665;865807,30"
"""241445 TRIUNFO POTIGUAR"";1156;36415,08"
"""241450 UMARIZAL"";49;17822,32"
"""241460 UPANEMA"";462;195518,55"
"""241475 VENHA-VER"";204;16086,28"
"""241490 VICOSA"";100;18621,55"
"""250010 AGUA BRANCA"";2599;427263,24"
"""250030 ALAGOA GRANDE"";791;356388,35"
"""250040 ALAGOA NOVA"";3206;689255,04"
"""250070 SAO JOAO DO RIO DO PEIXE"";1173;522263,97"
"""250090 ARARA"";19;8079,63"
"""250110 AREIA"";10596;417492,68"
"""250130 AROEIRAS"";1068;510699,43"
"""250150 BANANEIRAS"";11002;343891,40"
"""250180 BAYEUX"";57351;3176681,19"
"""250190 BELEM"";8048;2101983,57"
"""250200 BELEM DO BREJO DO CRUZ"";4464;223099,58"
"""250230 BOM SUCESSO"";514;42484,49"
"""250240 BONITO DE SANTA FE"";5000;360169,99"
"""250250 BOQUEIRAO"";25274;564041,23"
"""250280 BREJO DO CRUZ"";5059;410260,42"
"""250290 BREJO DOS SANTOS"";6704;538551,73"
"""250300 CAAPORA"";41532;2230417,25"
"""250320 CABEDELO"";330386;5099902,71"
"""250350 CACIMBA DE DENTRO"";446;65420,93"
"""250370 CAJAZEIRAS"";1250836;51343491,49"
"""250400 CAMPINA GRANDE"";8904857;509566484,02"
"""250430 CATOLE DO ROCHA"";156906;9948953,04"
"""250440 CONCEICAO"";3259;936810,16"
"""250480 COREMAS"";37813;1217507,56"
"""250500 CUBATI"";641;36173,93"
"""250510 CUITE"";57387;1630564,32"
"""250600 ESPERANCA"";111974;1229419,03"
"""250630 GUARABIRA"";329570;19955969,45"
"""250690 ITABAIANA"";24193;8293890,30"
"""250700 ITAPORANGA"";96720;4812791,36"
"""250710 ITAPOROROCA"";1404;488564,57"
"""250740 JERICO"";1655;89110,87"
"""250750 JOAO PESSOA"";16491463;898680827,09"
"""250770 JUAZEIRINHO"";775;183124,54"
"""250800 JURU"";761;263428,02"
"""250830 LAGOA SECA"";21411;655031,04"
"""250890 MAMANGUAPE"";2118169;30928569,22"
"""250920 MASSARANDUBA"";225;91177,99"
"""250970 MONTEIRO"";191670;13112004,27"
"""251080 PATOS"";1085611;98123233,51"
"""251090 PAULISTA"";15119;511190,32"
"""251110 PEDRA LAVRADA"";948;338709,51"
"""251120 PEDRAS DE FOGO"";146908;1561660,16"
"""251130 PIANCO"";347732;9749667,71"
"""251140 PICUI"";108714;11168746,49"
"""251200 POCINHOS"";4176;379115,52"
"""251210 POMBAL"";317280;15003746,96"
"""251230 PRINCESA ISABEL"";14043;3188126,89"
"""251250 QUEIMADAS"";180342;9018699,35"
"""251340 SANTA LUZIA"";16596;2489892,97"
"""251370 SANTA RITA"";1617360;291844998,80"
"""251390 SAO BENTO"";55114;2665499,28"
"""251450 SAO JOSE DE PIRANHAS"";35589;705278,44"
"""251490 SAO MAMEDE"";2011;174104,30"
"""251530 SAPE"";109650;1547391,15"
"""251540 SAO VICENTE DO SERIDO"";634;222040,89"
"""251550 SERRA BRANCA"";52248;1476704,88"
"""251600 SOLANEA"";116681;7233747,09"
"""251610 SOLEDADE"";2416;323081,84"
"""251620 SOUSA"";350082;23116145,09"
"""251630 SUME"";41945;2771794,07"
"""251650 TAPEROA"";66480;5457765,66"
"""251660 TAVARES"";3594;760489,40"
"""251690 UIRAUNA"";26427;3379118,06"
"""251700 UMBUZEIRO"";72;12971,18"
"""260005 ABREU E LIMA"";4946;334164,10"
"""260010 AFOGADOS DA INGAZEIRA"";766614;32606059,97"
"""260020 AFRANIO"";41198;1890978,09"
"""260030 AGRESTINA"";203266;5278747,96"
"""260040 AGUA PRETA"";21769;1180525,26"
"""260050 AGUAS BELAS"";45591;1272694,35"
"""260060 ALAGOINHA"";10006;601984,07"
"""260070 ALIANCA"";760;398280,80"
"""260080 ALTINHO"";4392;352572,95"
"""260090 AMARAJI"";3996;434196,81"
"""260100 ANGELIM"";1145;300299,58"
"""260110 ARARIPINA"";972492;63409224,54"
"""260120 ARCOVERDE"";1809909;59348892,10"
"""260130 BARRA DE GUABIRABA"";2195;238338,42"
"""260140 BARREIROS"";79276;9794953,48"
"""260150 BELEM DE MARIA"";464;41853,47"
"""260160 BELEM DE SAO FRANCISCO"";4962;581337,31"
"""260170 BELO JARDIM"";52760;3463251,72"
"""260180 BETANIA"";694;259310,09"
"""260190 BEZERROS"";708004;59452504,25"
"""260200 BODOCO"";34467;1161878,62"
"""260210 BOM CONSELHO"";16167;2362298,93"
"""260220 BOM JARDIM"";4019;489634,82"
"""260230 BONITO"";24115;1512796,50"
"""260240 BREJAO"";1426;341975,87"
"""260250 BREJINHO"";5222;345679,47"
"""260260 BREJO DA MADRE DE DEUS"";38269;704147,91"
"""260280 BUIQUE"";61530;3244142,20"
"""260290 CABO DE SANTO AGOSTINHO"";2719081;131512339,45"
"""260300 CABROBO"";5621;2172298,81"
"""260310 CACHOEIRINHA"";16049;481994,25"
"""260320 CAETES"";18385;1103542,70"
"""260330 CALCADO"";2193;174893,80"
"""260340 CALUMBI"";760;69797,47"
"""260345 CAMARAGIBE"";40495;5810976,88"
"""260350 CAMOCIM DE SAO FELIX"";3696;311104,90"
"""260360 CAMUTANGA"";275;137070,51"
"""260370 CANHOTINHO"";6605;1588606,01"
"""260380 CAPOEIRAS"";6806;621850,41"
"""260390 CARNAIBA"";31685;1511971,93"
"""260392 CARNAUBEIRA DA PENHA"";2695;294899,82"
"""260400 CARPINA"";24285;3072944,85"
"""260410 CARUARU"";11154292;328508449,25"
"""260415 CASINHAS"";1858;208795,36"
"""260420 CATENDE"";6094;390357,94"
"""260430 CEDRO"";4345;349088,62"
"""260440 CHA DE ALEGRIA"";53;19108,14"
"""260450 CHA GRANDE"";89231;984156,34"
"""260460 CONDADO"";2828;217960,25"
"""260470 CORRENTES"";2147;442202,19"
"""260480 CORTES"";21175;2935895,13"
"""260490 CUMARU"";3827;359150,93"
"""260500 CUPIRA"";8723;728854,03"
"""260510 CUSTODIA"";29685;1887368,04"
"""260515 DORMENTES"";18415;1110723,19"
"""260520 ESCADA"";22328;1195444,37"
"""260530 EXU"";2823;1037424,93"
"""260540 FEIRA NOVA"";1495;828629,66"
"""260545 FERNANDO DE NORONHA"";2692;103681,28"
"""260560 FLORES"";8148;445046,19"
"""260570 FLORESTA"";19630;2097112,33"
"""260580 FREI MIGUELINHO"";676;306649,15"
"""260590 GAMELEIRA"";3010;168268,32"
"""260600 GARANHUNS"";1936633;72362614,85"
"""260610 GLORIA DO GOITA"";353;188062,49"
"""260620 GOIANA"";343401;9604501,65"
"""260630 GRANITO"";1013;276253,51"
"""260640 GRAVATA"";103046;8156453,76"
"""260650 IATI"";20469;2016339,91"
"""260660 IBIMIRIM"";15757;751395,89"
"""260670 IBIRAJUBA"";1079;156444,69"
"""260680 IGARASSU"";48857;3390032,46"
"""260690 IGUARACY"";4582;212137,44"
"""260700 INAJA"";4952;739289,38"
"""260710 INGAZEIRA"";1677;92110,09"
"""260720 IPOJUCA"";62026;4610499,99"
"""260730 IPUBI"";4651;586980,75"
"""260740 ITACURUBA"";463;38583,85"
"""260750 ITAIBA"";2842;1001043,56"
"""260765 ITAMBE"";2116;565797,92"
"""260770 ITAPETIM"";18878;1403332,06"
"""260775 ITAPISSUMA"";7;10500,00"
"""260780 ITAQUITINGA"";170;37602,99"
"""260790 JABOATAO DOS GUARARAPES"";5510672;247710384,00"
"""260795 JAQUEIRA"";1491;307598,52"
"""260800 JATAUBA"";40626;835737,32"
"""260805 JATOBA"";5644;394563,47"
"""260810 JOAO ALFREDO"";4641;503145,56"
"""260825 JUCATI"";6885;253527,53"
"""260830 JUPI"";1616;558849,86"
"""260840 JUREMA"";2389;302760,69"
"""260845 LAGOA DO CARRO"";338;108891,51"
"""260850 LAGOA DE ITAENGA"";609;272640,49"
"""260860 LAGOA DO OURO"";2947;814080,65"
"""260870 LAGOA DOS GATOS"";436;104297,46"
"""260875 LAGOA GRANDE"";20282;1274462,80"
"""260880 LAJEDO"";9466;1611666,75"
"""260890 LIMOEIRO"";336928;39191566,27"
"""260900 MACAPARANA"";1901;737526,92"
"""260910 MACHADOS"";1007;188286,27"
"""260915 MANARI"";14715;586617,74"
"""260920 MARAIAL"";72;19211,48"
"""260930 MIRANDIBA"";4050;284020,28"
"""260940 MORENO"";1395888;86269793,97"
"""260950 NAZARE DA MATA"";307682;10434528,14"
"""260960 OLINDA"";2507032;102323814,15"
"""260970 OROBO"";1305;482926,92"
"""260980 OROCO"";11485;398874,97"
"""260990 OURICURI"";716728;32939471,27"
"""261000 PALMARES"";1655993;83522501,15"
"""261010 PALMEIRINA"";2604;199199,95"
"""261020 PANELAS"";8496;751198,07"
"""261030 PARANATAMA"";6234;993329,96"
"""261040 PARNAMIRIM"";7058;775338,53"
"""261050 PASSIRA"";3030;391943,46"
"""261060 PAUDALHO"";28839;7615566,43"
"""261070 PAULISTA"";2288529;86986047,93"
"""261080 PEDRA"";14250;531104,69"
"""261090 PESQUEIRA"";161433;6868208,94"
"""261100 PETROLANDIA"";107371;5229525,34"
"""261110 PETROLINA"";4211816;186341765,86"
"""261120 POCAO"";3525;285478,34"
"""261130 POMBOS"";523;415660,38"
"""261150 QUIPAPA"";1430;312993,84"
"""261160 RECIFE"";61103952;3802083494,25"
"""261170 RIACHO DAS ALMAS"";5119;851192,20"
"""261180 RIBEIRAO"";994;169575,55"
"""261190 RIO FORMOSO"";871;54237,55"
"""261200 SAIRE"";2091;181041,86"
"""261220 SALGUEIRO"";1256192;49393518,28"
"""261230 SALOA"";4140;832817,66"
"""261240 SANHARO"";8824;539418,01"
"""261245 SANTA CRUZ"";25342;958852,32"
"""261247 SANTA CRUZ DA BAIXA VERDE"";2595;253574,78"
"""261250 SANTA CRUZ DO CAPIBARIBE"";67018;3149099,35"
"""261255 SANTA FILOMENA"";6279;506593,33"
"""261260 SANTA MARIA DA BOA VISTA"";44567;1869042,29"
"""261270 SANTA MARIA DO CAMBUCA"";142;43463,28"
"""261280 SANTA TEREZINHA"";1427;79824,89"
"""261290 SAO BENEDITO DO SUL"";221;24227,95"
"""261300 SAO BENTO DO UNA"";59421;2481491,73"
"""261310 SAO CAITANO"";40356;1959197,71"
"""261320 SAO JOAO"";7811;1088309,65"
"""261330 SAO JOAQUIM DO MONTE"";10197;1167641,24"
"""261350 SAO JOSE DO BELMONTE"";3580;1339579,26"
"""261360 SAO JOSE DO EGITO"";35190;2361955,52"
"""261370 SAO LOURENCO DA MATA"";284926;15913319,61"
"""261380 SAO VICENTE FERRER"";2129;224593,32"
"""261390 SERRA TALHADA"";2290926;100396162,89"
"""261400 SERRITA"";16076;721312,06"
"""261410 SERTANIA"";39547;2491841,84"
"""261420 SIRINHAEM"";5515;423664,79"
"""261430 MOREILANDIA"";4183;336693,44"
"""261440 SOLIDAO"";3390;158711,45"
"""261450 SURUBIM"";131235;9340183,69"
"""261460 TABIRA"";23839;1195522,16"
"""261480 TACARATU"";17437;667976,19"
"""261485 TAMANDARE"";4891;272972,43"
"""261500 TAQUARITINGA DO NORTE"";9890;930043,98"
"""261510 TEREZINHA"";1359;265775,80"
"""261520 TERRA NOVA"";7091;349475,08"
"""261530 TIMBAUBA"";59231;3596833,16"
"""261540 TORITAMA"";16771;2197351,11"
"""261560 TRINDADE"";16915;992726,42"
"""261570 TRIUNFO"";8918;485951,18"
"""261580 TUPANATINGA"";6585;517010,36"
"""261590 TUPARETAMA"";8963;523784,22"
"""261600 VENTUROSA"";33110;1579991,13"
"""261610 VERDEJANTE"";1321;191456,65"
"""261620 VERTENTES"";33719;3298743,55"
"""261630 VICENCIA"";230;187781,08"
"""261640 VITORIA DE SANTO ANTAO"";1322059;66477319,79"
"""270010 AGUA BRANCA"";3568;299188,94"
"""270030 ARAPIRACA"";7559815;306001593,62"
"""270040 ATALAIA"";7880;650514,33"
"""270070 BATALHA"";10554;2526768,83"
"""270100 BOCA DA MATA"";1251;167378,23"
"""270130 CAJUEIRO"";510;225969,34"
"""270140 CAMPO ALEGRE"";29729;2163520,67"
"""270170 CAPELA"";37268;954846,61"
"""270210 COLONIA LEOPOLDINA"";700;162758,40"
"""270230 CORURIPE"";654362;80199606,15"
"""270235 CRAIBAS"";820;176916,60"
"""270240 DELMIRO GOUVEIA"";282641;15868892,11"
"""270280 FLEXEIRAS"";476;43753,59"
"""270300 IBATEGUARA"";550;109076,40"
"""270380 JOAQUIM GOMES"";2818;312568,85"
"""270400 JUNQUEIRO"";37012;800772,20"
"""270420 LIMOEIRO DE ANADIA"";450;67922,81"
